0,01;0,025;0,05;0,95;0,975;0,99
6,6349;5,02389;3,84146;0,00393;0,00098;0,00016
9,21034;7,37776;5,99146;0,10259;0,05064;0,0201
11,34487;9,3484;7,81473;0,35185;0,2158;0,11483
13,2767;11,14329;9,48773;0,71072;0,48442;0,29711
15,08627;12,8325;11,0705;1,14548;0,83121;0,5543
16,81189;14,44938;12,59159;1,63538;1,23734;0,87209
18,47531;16,01276;14,06714;2,16735;1,68987;1,23904
20,09024;17,53455;15,50731;2,73264;2,17973;1,6465
21,66599;19,02277;16,91898;3,32511;2,70039;2,0879
23,20925;20,48318;18,30704;3,9403;3,24697;2,55821
24,72497;21,92005;19,67514;4,57481;3,81575;3,05348
26,21697;23,33666;21,02607;5,22603;4,40379;3,57057
27,68825;24,7356;22,36203;5,89186;5,00875;4,10692
29,14124;26,11895;23,68479;6,57063;5,62873;4,66043
30,57791;27,48839;24,99579;7,26094;6,26214;5,22935
31,99993;28,84535;26,29623;7,96165;6,90766;5,81221
33,40866;30,19101;27,58711;8,67176;7,56419;6,40776
34,80531;31,52638;28,8693;9,39046;8,23075;7,01491
36,19087;32,85233;30,14353;10,11701;8,90652;7,63273
37,56623;34,16961;31,41043;10,85081;9,59078;8,2604
38,93217;35,47888;32,67057;11,59131;10,2829;8,8972
40,28936;36,78071;33,92444;12,33801;10,98232;9,54249
41,6384;38,07563;35,17246;13,09051;11,68855;10,19572
42,97982;39,36408;36,41503;13,84843;12,40115;10,85636
44,3141;40,64647;37,65248;14,61141;13,11972;11,52398
45,64168;41,92317;38,88514;15,37916;13,84391;12,19815
46,96294;43,19451;40,11327;16,1514;14,57338;12,8785
48,27824;44,46079;41,33714;16,92788;15,30786;13,56471
49,58788;45,72229;42,55697;17,70837;16,04707;14,25645
50,89218;46,97924;43,77297;18,49266;16,79077;14,95346
52,19139;48,23189;44,98534;19,28057;17,53874;15,65546
53,48577;49,48044;46,19426;20,07191;18,29076;16,36222
54,77554;50,72508;47,39988;20,86653;19,04666;17,07351
56,06091;51,966;48,60237;21,66428;19,80625;17,78915
57,34207;53,20335;49,80185;22,46502;20,56938;18,50893
58,61921;54,43729;50,99846;23,26861;21,33588;19,23268
59,8925;55,66797;52,19232;24,07494;22,10563;19,96023
61,16209;56,89552;53,38354;24,8839;22,87848;20,69144
62,42812;58,12006;54,57223;25,69539;23,65432;21,42616
63,69074;59,34171;55,75848;26,5093;24,43304;22,16426
64,95007;60,56057;56,94239;27,32555;25,21452;22,90561
66,20624;61,77676;58,12404;28,14405;25,99866;23,65009
67,45935;62,99036;59,30351;28,96472;26,78537;24,3976
68,70951;64,20146;60,48089;29,78748;27,57457;25,14803
69,95683;65,41016;61,65623;30,61226;28,36615;25,90127
71,2014;66,61653;62,82962;31,439;29,16005;26,65724
72,44331;67,82065;64,00111;32,26762;29,9562;27,41585
73,68264;69,02259;65,17077;33,09808;30,75451;28,17701
74,91947;70,22241;66,33865;33,93031;31,55492;28,94065
76,15389;71,4202;67,50481;34,76425;32,35736;29,70668
